title,thumbnail,score,link
Getsuyoubi no Tawawa 2,https://voiranime.com/wp-content/uploads/2021/09/thumb_6148b14348a33-110x150.jpg,3.3,https://voiranime.com/anime/getsuyoubi-no-tawawa-2-2/
"Ganbare, Douki-chan",https://voiranime.com/wp-content/uploads/2021/09/thumb_6148b141db996-110x150.jpg,3.5,https://voiranime.com/anime/ganbare-douki-chan/
Megaton-kyuu Musashi,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b4be6212-110x150.jpg,3.7,https://voiranime.com/anime/megaton-kyuu-musashi/
Pokémon Evolutions (VF),https://voiranime.com/wp-content/uploads/2021/10/thumb_617210316f50d-110x150.jpg,3.7,https://voiranime.com/anime/pokemon-evolutions-vf/
Pokemon (2019),https://voiranime.com/wp-content/uploads/2020/02/thumb_5e53ee831acbc-110x150.png,4,https://voiranime.com/anime/pokemon-2019/
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai (VF),https://voiranime.com/wp-content/uploads/2020/01/thumb_5e11c6e8c56f0-110x150.png,4,https://voiranime.com/anime/seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai-vf/
JoJo no Kimyou na Bouken: Stone Ocean (VF),https://voiranime.com/wp-content/uploads/2021/08/thumb_6110e1a662fba-110x150.png,4.5,https://voiranime.com/anime/jojo-no-kimyou-na-bouken-stone-ocean-vf/
JoJo no Kimyou na Bouken: Stone Ocean,https://voiranime.com/wp-content/uploads/2021/08/thumb_6110e1a662fba-110x150.png,4.4,https://voiranime.com/anime/jojo-no-kimyou-na-bouken-stone-ocean/
Cinderella Chef 2,https://voiranime.com/wp-content/uploads/2021/11/thumb_6183075e7a063-110x150.png,3.8,https://voiranime.com/anime/cinderella-chef-2/
Black Clover (VF),https://voiranime.com/wp-content/uploads/2020/02/thumb_5e53ee78c244f-110x150.jpg,4.1,https://voiranime.com/anime/black-clover-vf/
Super Crooks,https://voiranime.com/wp-content/uploads/2021/11/thumb_618fb761e725f-110x150.jpg,4.2,https://voiranime.com/anime/super-crooks/
Super Crooks (VF),https://voiranime.com/wp-content/uploads/2021/11/thumb_618fb761e725f-110x150.jpg,3.3,https://voiranime.com/anime/super-crooks-vf/
Edens Zero (VF),https://voiranime.com/wp-content/uploads/2021/03/thumb_60520cb342b4c-110x150.jpg,4.2,https://voiranime.com/anime/edens-zero-vf/
Link Click Mini Theater,https://voiranime.com/wp-content/uploads/2021/11/thumb_619d884060e9d-110x150.jpg,4.1,https://voiranime.com/anime/link-click-mini-theater/
Heike Monogatari,https://voiranime.com/wp-content/uploads/2021/09/thumb_61421b15ce896-110x150.jpg,4.1,https://voiranime.com/anime/heike-monogatari/
JoJo no Kimyou na Bouken: Ougon no Kaze (VF),https://voiranime.com/wp-content/uploads/2020/01/thumb_5e0f7902435bf-110x150.png,4,https://voiranime.com/anime/jojo-no-kimyou-na-bouken-ougon-no-kaze-vf/
Arcane,https://voiranime.com/wp-content/uploads/2021/11/arcane-va-110x150.jpg,4.6,https://voiranime.com/anime/arcane/
Arcane (VF),https://voiranime.com/wp-content/uploads/2021/11/arcane-va-110x150.jpg,4.3,https://voiranime.com/anime/arcane-vf/
The Daily Life of the Immortal King 2,https://voiranime.com/wp-content/uploads/2021/11/thumb_6182fee2b94d6-110x150.png,4.1,https://voiranime.com/anime/the-daily-life-of-the-immortal-king-2/
Deatte 5-byou de Battle (VF),https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf9714496-110x150.jpg,4,https://voiranime.com/anime/deatte-5-byou-de-battle-vf/
D.Gray-man KAI,https://voiranime.com/wp-content/uploads/2020/01/thumb_5e0e39ca3fefd-110x150.png,4.1,https://voiranime.com/anime/d-gray-man-kai/
